Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,2.0531399,2.1742301,1.89394,1.99077,1.99077,19192200
2017-11-10,2.00773,2.0694699,1.64478,1.79684,1.79684,11155000
2017-11-11,1.78628,1.91775,1.61429,1.67047,1.67047,8178150
2017-11-12,1.66889,1.6727999,1.4625601,1.51969,1.51969,15298700
2017-11-13,1.52601,1.73502,1.5176001,1.68662,1.68662,12238800
2017-11-14,1.68928,1.73537,1.56827,1.59258,1.59258,7829600
2017-11-15,1.58777,1.62498,1.4955,1.53045,1.53045,7615500
2017-11-16,1.55619,1.68222,1.53689,1.57792,1.57792,8928640
2017-11-17,1.58005,1.58266,1.4953001,1.51036,1.51036,8508840
2017-11-18,1.51136,1.67678,1.49823,1.67433,1.67433,32167300
2017-11-19,1.67336,1.70123,1.5678,1.61377,1.61377,38081700
2017-11-20,1.62559,1.66065,1.5556099,1.62445,1.62445,12994500
2017-11-21,1.65817,1.65967,1.54984,1.57406,1.57406,5440790
2017-11-22,1.59049,1.62137,1.55823,1.61175,1.61175,7177000
2017-11-23,1.6106,1.61668,1.53759,1.5487,1.5487,8392640
2017-11-24,1.56953,1.8201801,1.55558,1.71771,1.71771,12155400
2017-11-25,1.71697,1.9576401,1.69397,1.87387,1.87387,12839900
2017-11-26,1.89474,1.93531,1.82674,1.85313,1.85313,9056850
2017-11-27,1.8708301,1.94727,1.7896301,1.9429801,1.9429801,22826600
2017-11-28,1.95885,1.95885,1.86804,1.91711,1.91711,36377700
2017-11-29,1.92434,2.05159,1.68317,1.7515301,1.7515301,43765500
2017-11-30,1.76144,2.0529101,1.76144,1.9969701,1.9969701,31559500
2017-12-01,1.99695,2.1370101,1.9229701,2.07023,2.07023,28867200
2017-12-02,2.07706,2.11566,1.9968899,2.0841601,2.0841601,24332700
2017-12-03,2.0854101,2.38115,2.0541899,2.2272501,2.2272501,35163500
2017-12-04,2.25809,2.5770299,2.25809,2.4916799,2.4916799,41226200
2017-12-05,2.5018101,2.7317901,2.5018101,2.5953,2.5953,49190000
2017-12-06,2.58043,2.77881,2.34588,2.5876901,2.5876901,41731500
2017-12-07,2.5494001,2.9144299,2.48943,2.7799499,2.7799499,28297900
2017-12-08,2.7660999,2.8689899,2.2595699,2.8306701,2.8306701,38648500
2017-12-09,2.82602,2.8673401,2.3303499,2.61043,2.61043,27217000
2017-12-10,2.66134,2.6954401,2.2117,2.4833701,2.4833701,19258500
2017-12-11,2.51302,2.8244801,2.50335,2.70665,2.70665,19427000
2017-12-12,2.72645,2.7783,2.61343,2.6847501,2.6847501,24523200
2017-12-13,2.6870799,2.8750501,2.57144,2.7781,2.7781,28429500
2017-12-14,2.7734399,3.15874,2.77266,3.15874,3.15874,40335300
2017-12-15,3.1566999,4.4112501,3.1428199,3.99615,3.99615,52745900
2017-12-16,4.1684699,4.72541,3.9184,4.66465,4.66465,54002400
2017-12-17,4.6693401,6.7504301,4.6693401,5.7567201,5.7567201,98159600
2017-12-18,5.7923999,6.2213202,5.2809701,5.61585,5.61585,66623700
2017-12-19,5.6469998,6.54532,5.5797601,5.7923298,5.7923298,66695200
2017-12-20,5.78863,5.78863,4.9331698,5.1762099,5.1762099,47866900
2017-12-21,5.1849098,5.6981602,4.8141499,5.1800098,5.1800098,46905500
2017-12-22,5.2054601,5.2127399,3.51331,4.3361502,4.3361502,36672600
2017-12-23,4.3949599,5.13451,4.30761,4.8392601,4.8392601,32930300
2017-12-24,4.7418399,5.2856798,4.1986499,5.2856798,5.2856798,43676900
2017-12-25,5.3085799,6.9552202,5.2505398,6.56001,6.56001,66374400
2017-12-26,6.5592799,10.6221,6.4963799,9.0294199,9.0294199,167812992
2017-12-27,9.2542601,11.3022,8.4865904,10.107,10.107,167808000
2017-12-28,10.1263,10.1964,8.1492796,9.3214102,9.3214102,109298000
2017-12-29,9.3186197,9.5348501,8.5368204,8.8076,8.8076,70849400
2017-12-30,8.7137699,8.7610998,7.1879401,7.8410101,7.8410101,72933904
2017-12-31,7.76331,8.8391199,7.7089901,8.6355801,8.6355801,74927904
2018-01-01,8.62953,8.7005701,7.9592199,8.4146099,8.4146099,66422800
2018-01-02,8.4576998,9.1225901,8.2171803,8.8377705,8.8377705,104789000
2018-01-03,8.7701397,9.58078,8.5291796,9.5358801,9.5358801,108852000
2018-01-04,9.4458399,9.5384903,8.8541298,9.2139902,9.2139902,158819008
2018-01-05,9.1456804,16.717699,9.0946798,14.9172,14.9172,341504992
2018-01-06,14.8689,23.5082,14.8212,22.7598,22.7598,637020992
2018-01-07,22.7691,22.7691,18.2425,18.656799,18.656799,258050000
2018-01-08,18.6465,19.2167,15.3471,18.2609,18.2609,296617984
2018-01-09,18.174,20.320299,16.801399,17.4118,17.4118,194750000
2018-01-10,17.707899,17.707899,15.1708,17.3908,17.3908,146582000
2018-01-11,17.566601,23.1525,15.2863,21.0427,21.0427,389228000
2018-01-12,21.4758,24.9121,19.930401,22.316299,22.316299,387537984
2018-01-13,22.345301,23.666901,21.3734,22.1744,22.1744,181676000
2018-01-14,22.2535,22.2535,19.138,20.7773,20.7773,129239000
2018-01-15,20.8004,23.604799,19.3309,19.564699,19.564699,244154000
2018-01-16,19.634001,19.634001,10.435,13.8919,13.8919,399951008
2018-01-17,13.623,15.5378,9.6553402,14.2032,14.2032,299411008
2018-01-18,14.2506,15.9596,13.5127,14.2804,14.2804,204899008
2018-01-19,14.3106,15.6351,13.989,14.9406,14.9406,139882000
2018-01-20,15.0342,16.652399,15.0342,16.1903,16.1903,156744992
2018-01-21,16.248899,16.248899,13.3591,14.0683,14.0683,141562000
2018-01-22,14.1987,14.4503,11.9146,13.0146,13.0146,138026000
2018-01-23,13.0015,13.9627,11.785,13.0935,13.0935,91706200
2018-01-24,13.1906,14.1906,12.7892,13.6287,13.6287,105736000
2018-01-25,13.7605,14.1374,13.065,13.2284,13.2284,105648000
2018-01-26,13.2109,13.5905,12.2947,13.2182,13.2182,113429000
2018-01-27,13.2332,13.4414,12.8942,13.253,13.253,84009400
2018-01-28,13.3017,13.8125,13.2038,13.5402,13.5402,93871104
2018-01-29,13.5454,13.6727,12.677,12.7645,12.7645,71294304
2018-01-30,12.7736,12.7736,11.0571,11.2507,11.2507,59389600
2018-01-31,11.2683,11.4132,10.5684,11.145,11.145,50435000
2018-02-01,11.1783,11.3944,8.7074203,9.5158396,9.5158396,82984200
2018-02-02,9.4079599,10.4585,7.2181301,9.6522903,9.6522903,91468200
2018-02-03,9.69666,10.2724,8.61168,9.7496796,9.7496796,56556200
2018-02-04,9.7456398,9.7456398,8.1027498,8.4586401,8.4586401,49990000
2018-02-05,8.4275303,8.5517197,6.1296101,6.70503,6.70503,55276900
2018-02-06,6.8062701,8.5555401,5.5900698,8.2888498,8.2888498,97189904
2018-02-07,8.31528,9.2249699,7.3510299,8.0950098,8.0950098,77970304
2018-02-08,8.0937204,8.72122,8.0937204,8.5955,8.5955,82496000
2018-02-09,8.6066599,9.8892698,8.3431501,9.7304602,9.7304602,9284
