Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,315.47699,337.22601,311.819,326.008,326.008,110840000
2017-11-10,325.26599,353.358,308.45901,329.57101,329.57101,116352000
2017-11-11,331.42801,349.07999,321.04099,346.056,346.056,88651000
2017-11-12,345.67999,536.11603,327.79901,536.11603,536.11603,476198016
2017-11-13,507.04901,530.94098,403.50101,427.37299,427.37299,310886016
2017-11-14,428.31,447.922,408.95499,427.54099,427.54099,123854000
2017-11-15,428.07999,444.38199,418.47198,424.41299,424.41299,103157000
2017-11-16,424.508,427.84799,412.836,418.18201,418.18201,97321296
2017-11-17,420.58899,436.01599,412.453,424.983,424.983,95099296
2017-11-18,424.35101,483.09698,423.245,454.742,454.742,145255008
2017-11-19,455.35901,455.66,431.79199,442.311,442.311,82954600
2017-11-20,442.026,502.53101,438.42001,486.535,486.535,104701000
2017-11-21,500.23801,519.41803,454.48401,494.21301,494.21301,245163008
2017-11-22,494.76199,594.52899,494.29401,578.84601,578.84601,381958016
2017-11-23,577.25098,583.73297,557.12201,566.67902,566.67902,173698000
2017-11-24,564.33698,573.19501,553.57501,566.63501,566.63501,129105000
2017-11-25,566.95599,656.13501,566.95599,643.57202,643.57202,242807008
2017-11-26,641.45697,646.28302,617.73901,621.62299,621.62299,145500000
2017-11-27,621.14697,638.94897,611.78998,632.29602,632.29602,134862000
2017-11-28,632.44397,637.05603,616.30798,626.42102,626.42102,149795008
2017-11-29,626.26202,815.008,625.36499,677.39502,677.39502,415879008
2017-11-30,681.12701,826.95001,670.98798,786.92902,786.92902,498872000
2017-12-01,787.46997,806.37201,756.48401,797.53101,797.53101,286044000
2017-12-02,797.90198,802.12097,769.38599,778.43402,778.43402,188147008
2017-12-03,778.78101,806.70001,744.39203,768.87598,768.87598,192447008
2017-12-04,770.56897,778.05103,738.59302,774.013,774.013,152280992
2017-12-05,774.70697,779.98199,754.27197,756.35901,756.35901,201103008
2017-12-06,756.01001,785.18298,692.01898,700.073,700.073,249072992
2017-12-07,699.98499,714.50598,667.82898,697.901,697.901,249304992
2017-12-08,700.68402,766.03802,659.85699,726.66803,726.66803,288291008
2017-12-09,727.638,774.651,707.32098,723.612,723.612,211738000
2017-12-10,723.23297,723.82898,645.164,688.66602,688.66602,190183008
2017-12-11,688.54901,768.935,688.15503,765.39697,765.39697,184131008
2017-12-12,765.96399,948.64801,746.93701,932.03497,932.03497,370539008
2017-12-13,925.01703,931.211,810.96301,886.88501,886.88501,268426000
2017-12-14,884.21301,968.47198,866.63501,941.10498,941.10498,259303008
2017-12-15,943.31799,947.28497,850.62799,900.51801,900.51801,191527008
2017-12-16,901.22101,1001.51,897.28802,1001.51,1001.51,195788000
2017-12-17,1014.51,1178.1801,1014.51,1105.92,1105.92,460593984
2017-12-18,1110.16,1195.74,1044.76,1167.12,1167.12,278638016
2017-12-19,1165.03,1254.28,1126.85,1186.63,1186.63,302868992
2017-12-20,1184.92,1642.22,1167.3,1550.85,1550.85,816872000
2017-12-21,1555.59,1622.26,1371.39,1434.8199,1434.8199,476900000
