Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.216713,0.24823301,0.195411,0.223969,0.223969,3347920
2017-11-10,0.2247,0.23128,0.180161,0.187602,0.187602,2125460
2017-11-11,0.186398,0.197687,0.166026,0.17976999,0.17976999,2238980
2017-11-12,0.179667,0.198376,0.14594799,0.17089801,0.17089801,5455200
2017-11-13,0.169117,0.20501401,0.168743,0.183071,0.183071,2992650
2017-11-14,0.184815,0.199968,0.17039999,0.188114,0.188114,2203410
2017-11-15,0.187613,0.19351301,0.17603,0.186138,0.186138,1689780
2017-11-16,0.187482,0.188444,0.16453101,0.169761,0.169761,1766160
2017-11-17,0.16945501,0.171535,0.152477,0.159649,0.159649,2547360
2017-11-18,0.155009,0.177912,0.150702,0.170872,0.170872,1948470
2017-11-19,0.170798,0.173812,0.157416,0.16235401,0.16235401,1646620
2017-11-20,0.162366,0.166283,0.156672,0.162183,0.162183,1916880
2017-11-21,0.16347601,0.168005,0.153796,0.154972,0.154972,1952710
2017-11-22,0.15697999,0.174569,0.150318,0.168515,0.168515,2709660
2017-11-23,0.169655,0.190338,0.157085,0.16438399,0.16438399,3325760
2017-11-24,0.165317,0.193379,0.155927,0.192921,0.192921,3763260
2017-11-25,0.192811,0.193242,0.174594,0.180959,0.180959,2292830
2017-11-26,0.183492,0.185923,0.170017,0.182888,0.182888,1860700
2017-11-27,0.182888,0.185542,0.17190699,0.184168,0.184168,4242550
2017-11-28,0.186821,0.19213501,0.175586,0.176424,0.176424,5251760
2017-11-29,0.176567,0.18229599,0.137963,0.145255,0.145255,5052720
2017-11-30,0.14736,0.176797,0.14216299,0.170461,0.170461,4621870
2017-12-01,0.16952799,0.179564,0.16126999,0.17782301,0.17782301,4352980
2017-12-02,0.17794099,0.222175,0.16736101,0.20789801,0.20789801,7396790
2017-12-03,0.20799799,0.255528,0.193607,0.230629,0.230629,8765840
2017-12-04,0.232595,0.25327,0.206793,0.229581,0.229581,6981590
2017-12-05,0.22927,0.31387699,0.221351,0.31387699,0.31387699,12459200
2017-12-06,0.31235799,0.35364899,0.26784199,0.29157001,0.29157001,12387900
2017-12-07,0.28369001,0.30835301,0.235807,0.26006401,0.26006401,6697780
2017-12-08,0.26000401,0.27348599,0.211824,0.245226,0.245226,4528570
2017-12-09,0.244985,0.26770499,0.22641499,0.238859,0.238859,3173600
2017-12-10,0.241055,0.267001,0.215909,0.25289801,0.25289801,3142570
2017-12-11,0.255079,0.28795099,0.245527,0.26059201,0.26059201,7534170
2017-12-12,0.254114,0.270264,0.20959599,0.231424,0.231424,10320200
2017-12-13,0.231428,0.28801301,0.224191,0.26187801,0.26187801,10439800
2017-12-14,0.26131999,0.36684299,0.253102,0.308503,0.308503,16021700
2017-12-15,0.31260401,0.35445201,0.25822401,0.320793,0.320793,13211800
2017-12-16,0.31819901,0.35286,0.29300499,0.34139299,0.34139299,13859700
2017-12-17,0.34184799,0.44442099,0.33990601,0.41759601,0.41759601,20035600
2017-12-18,0.41826901,0.43490699,0.36278301,0.43490699,0.43490699,18220400
2017-12-19,0.43107501,0.50860298,0.41512799,0.439356,0.439356,13254800
2017-12-20,0.43872899,0.43872899,0.35275599,0.372796,0.372796,10481200
2017-12-21,0.378562,0.466434,0.36881101,0.42428699,0.42428699,12030600
2017-12-22,0.42764801,0.45633101,0.283609,0.42687801,0.42687801,14979800
2017-12-23,0.43927199,0.72338599,0.43927199,0.57767999,0.57767999,24055000
2017-12-24,0.584562,0.60437399,0.44383001,0.54416198,0.54416198,15183200
2017-12-25,0.54933703,0.58454198,0.48899001,0.50193298,0.50193298,7740550
2017-12-26,0.50628901,0.54963702,0.435954,0.52142102,0.52142102,10452900
2017-12-27,0.51571,0.53066897,0.460536,0.50550097,0.50550097,6065390
2017-12-28,0.50278199,0.51363701,0.43650699,0.506697,0.506697,5458410
2017-12-29,0.50816101,0.51844698,0.46116,0.486348,0.486348,5757530
2017-12-30,0.488004,0.586128,0.43333301,0.586128,0.586128,9126190
2017-12-31,0.55880898,0.61353803,0.52451599,0.60155201,0.60155201,9962080
2018-01-01,0.60041499,0.736103,0.57421798,0.73356301,0.73356301,11506300
2018-01-02,0.72908199,0.76433498,0.585715,0.67371202,0.67371202,12671100
2018-01-03,0.66979897,0.70424998,0.62913501,0.68116701,0.68116701,8620400
2018-01-04,0.680094,1.02215,0.680094,0.98436803,0.98436803,24679000
2018-01-05,0.95873398,1.26386,0.85166901,0.90748602,0.90748602,23599300
2018-01-06,0.96479601,1.1922801,0.93846202,1.06357,1.06357,16319300
2018-01-07,1.08832,1.32178,1.00805,1.27046,1.27046,23308800
2018-01-08,1.27167,1.43502,1.05292,1.3773,1.3773,25545400
2018-01-09,1.37831,1.42467,1.18373,1.2282799,1.2282799,14301200
2018-01-10,1.23827,1.26448,1.09296,1.18871,1.18871,11260700
2018-01-11,1.1837,1.29348,0.97219098,1.01033,1.01033,10009300
2018-01-12,1.02975,1.14142,0.98954898,1.05156,1.05156,9231200
2018-01-13,1.05346,1.284,1.04909,1.10123,1.10123,12319900
2018-01-14,1.1064399,1.15459,0.94108498,1.0108401,1.0108401,5844480
2018-01-15,1.00695,1.03702,0.84842199,0.87768799,0.87768799,8351260
2018-01-16,0.88177198,0.88177198,0.52475601,0.75645298,0.75645298,8988860
2018-01-17,0.75184703,0.76820201,0.479321,0.69863403,0.69863403,7658770
2018-01-18,0.70245397,0.81981999,0.691333,0.74422997,0.74422997,5953820
2018-01-19,0.73917001,0.90822703,0.70313102,0.81290501,0.81290501,7383730
2018-01-20,0.820674,1.2193,0.80549902,1.2193,1.2193,13848900
2018-01-21,1.19564,1.19564,0.840487,0.88782799,0.88782799,22703900
2018-01-22,0.90579402,1.01586,0.73484302,0.802858,0.802858,12408600
2018-01-23,0.80223501,0.86283898,0.71865398,0.80191702,0.80191702,7552930
2018-01-24,0.79884797,0.83411598,0.76696098,0.79286301,0.79286301,6451640
2018-01-25,0.80038297,0.832663,0.720689,0.76043701,0.76043701,6271900
2018-01-26,0.75681102,0.78767699,0.67842299,0.70985299,0.70985299,5618280
2018-01-27,0.71096098,0.84637302,0.68970501,0.78067499,0.78067499,14915400
2018-01-28,0.78952903,0.85593301,0.75199801,0.76060098,0.76060098,9034380
2018-01-29,0.75679898,0.76152498,0.68592501,0.697712,0.697712,5220320
2018-01-30,0.70000499,0.70000499,0.56277502,0.59677798,0.59677798,5598540
2018-01-31,0.59887201,0.62401998,0.565813,0.62014598,0.62014598,6957010
2018-02-01,0.619959,0.62340099,0.48030701,0.520347,0.520347,6605630
2018-02-02,0.51844001,0.52383697,0.35194999,0.49457401,0.49457401,7123780
2018-02-03,0.500117,0.544792,0.453403,0.51855803,0.51855803,5826330
2018-02-04,0.51861203,0.52575397,0.403487,0.43437099,0.43437099,5171480
2018-02-05,0.43015799,0.437098,0.30724499,0.341506,0.341506,4347320
2018-02-06,0.343707,0.43851399,0.272057,0.425248,0.425248,6105750
2018-02-07,0.42581299,0.44364399,0.373128,0.376771,0.376771,5201810
2018-02-08,0.37552401,0.43312699,0.37552401,0.41108,0.41108,5285960
2018-02-09,0.41202801,0.44001999,0.391976,0.43519399,0.43519399,3047610
2018-02-10,0.43550301,0.48011401,0.400166,0.41987401,0.41987401,3474900
2018-02-11,0.419716,0.43564901,0.378313,0.41615701,0.41615701,2544010
2018-02-12,0.417541,0.51970798,0.414619,0.490282,0.490282,7646360
2018-02-13,0.48892999,0.62475002,0.48252401,0.570759,0.570759,30283200
2018-02-14,0.56420499,0.58791602,0.53243399,0.56825298,0.56825298,11953100
2018-02-15,0.56824499,0.57935798,0.52974701,0.56525099,0.56525099,7288970
2018-02-16,0.56180298,0.666601,0.557657,0.63962799,0.63962799,9385160
2018-02-17,0.64433903,0.68390101,0.63654602,0.67248702,0.67248702,8038940
2018-02-18,0.67666399,0.78135699,0.58714902,0.76176101,0.76176101,15946800
2018-02-19,0.76006401,0.875907,0.7105,0.77436203,0.77436203,29965000
2018-02-20,0.77125901,0.82033902,0.69819599,0.69992602,0.69992602,11664800
2018-02-21,0.695364,0.73427099,0.62368101,0.653669,0.653669,7049450
2018-02-22,0.65479398,0.71384102,0.58427298,0.60192299,0.60192299,5678200
2018-02-23,0.60121399,0.67669302,0.57222497,0.67479098,0.67479098,6902820
2018-02-24,0.67602599,0.71840298,0.61849803,0.650958,0.650958,5582380
2018-02-25,0.64601302,0.69982702,0.63677502,0.67571503,0.67571503,5793540
