Date,tx_count,active_addresses,tx_volume_usd,hash_rate
2009-01-03,,2,,4.971026963e-08
2009-01-04,,,,0
2009-01-05,,,,0
2009-01-06,,,,0
2009-01-07,,,,0
2009-01-08,,,,0
2009-01-09,,14,,6.959437748e-07
2009-01-10,,60,,1.541018359e-06
2009-01-11,,93,,5.269288581e-06
2009-01-12,,102,,4.424213997e-06
2009-01-13,,123,,5.716681007e-06
2009-01-14,,130,,6.263493973e-06
2009-01-15,,134,,6.313204243e-06
2009-01-16,,110,,5.766391277e-06
2009-01-17,109,109,,5.36870912e-06
2009-01-18,108,108,,5.020737233e-06
2009-01-19,117,117,,5.915522086e-06
2009-01-20,115,115,,5.766391277e-06
2009-01-21,105,105,,5.617260468e-06
2009-01-22,90,90,,3.728270222e-06
2009-01-23,86,86,,3.330588065e-06
2009-01-24,202,202,,9.892343656e-06
2009-01-25,192,192,,9.643792308e-06
2009-01-26,97,97,,5.766391277e-06
2009-01-27,98,98,,5.120157772e-06
2009-01-28,112,112,,5.120157772e-06
2009-01-29,122,122,,6.064652895e-06
2009-01-30,117,117,,6.014942625e-06
2009-01-31,139,139,,6.412624782e-06
2009-02-01,114,114,,5.766391277e-06
2009-02-02,129,129,,6.313204243e-06
2009-02-03,155,153,,6.76059667e-06
2009-02-04,119,119,,6.114363164e-06
2009-02-05,126,126,,6.014942625e-06
2009-02-06,122,122,,6.412624782e-06
2009-02-07,133,134,,6.263493973e-06
2009-02-08,133,133,,6.66117613e-06
2009-02-09,135,135,,6.362914513e-06
2009-02-10,120,120,,6.313204243e-06
2009-02-11,135,135,,6.512045321e-06
2009-02-12,119,119,,5.865811816e-06
2009-02-13,124,,,6.164073434e-06
2009-02-14,136,136,,7.009148018e-06
2009-02-15,131,131,,6.064652895e-06
2009-02-16,123,123,,6.114363164e-06
2009-02-17,117,117,,5.865811816e-06
2009-02-18,118,118,,6.164073434e-06
2009-02-19,125,125,,5.816101547e-06
2009-02-20,122,122,,6.362914513e-06
2009-02-21,114,114,,5.468129659e-06
2009-02-22,125,125,,6.014942625e-06
2009-02-23,108,108,,5.31899885e-06
2009-02-24,106,106,,5.517839929e-06
2009-02-25,105,105,,5.31899885e-06
2009-02-26,107,107,,4.772185884e-06
2009-02-27,116,116,,6.114363164e-06
2009-02-28,100,100,,5.070447502e-06
2009-03-01,105,105,,5.269288581e-06
2009-03-02,108,108,,5.169868041e-06
2009-03-03,107,106,,5.269288581e-06
2009-03-04,106,106,,5.269288581e-06
2009-03-05,113,113,,5.269288581e-06
2009-03-06,117,117,,5.865811816e-06
2009-03-07,109,109,,5.517839929e-06
2009-03-08,118,118,,5.567550199e-06
2009-03-09,108,108,,5.617260468e-06
2009-03-10,107,107,,5.219578311e-06
2009-03-11,114,114,,5.36870912e-06
2009-03-12,119,119,,5.865811816e-06
2009-03-13,114,,,5.666970738e-06
2009-03-14,110,110,,5.766391277e-06
2009-03-15,123,123,,5.517839929e-06
2009-03-16,122,122,,6.462335052e-06
2009-03-17,114,114,,5.716681007e-06
